Year,State Name,District,Area,Production,Yield
2002,West Bengal,Burdwan,647.48,1931.37,2982.9
2003,West Bengal,Burdwan,655.53,2008.06,3063.26
2004,West Bengal,Burdwan,634.17,1892.93,2984.89
2005,West Bengal,Burdwan,639.01,1968.49,3080.53
2006,West Bengal,Burdwan,642.81,1966.99,3059.99
2007,West Bengal,Burdwan,635.8,1858.6,2923.25
2008,West Bengal,Burdwan,666.5,1876.2,2815.0
2009,West Bengal,Burdwan,672.5,2051.2,3050.11
2010,West Bengal,Burdwan,562.86,1665.94,2959.78
2011,West Bengal,Burdwan,592.8,1749.32,2950.94
2012,West Bengal,Burdwan,593.42,1922.46,3239.63
2013,West Bengal,Burdwan,604.19,2016.62,3337.72
2014,West Bengal,Burdwan,583.28,1896.03,3250.63
2015,West Bengal,Burdwan,578.47,1949.43,3369.98
2016,West Bengal,Burdwan,493.44,1514.45,3069.16
2017,West Bengal,Burdwan,520.61,1597.43,3068.36
1966,West Bengal,Birbhum,319.92,475.36,1485.87
1967,West Bengal,Birbhum,331.78,490.78,1479.23
1968,West Bengal,Birbhum,320.9,491.75,1532.41
1969,West Bengal,Birbhum,332.7,414.97,1247.28
1970,West Bengal,Birbhum,324.1,459.21,1416.88
1971,West Bengal,Birbhum,334.2,381.03,1140.13
1972,West Bengal,Birbhum,321.6,397.26,1235.26
1973,West Bengal,Birbhum,343.4,452.24,1316.95
1974,West Bengal,Birbhum,350.7,494.33,1409.55
1975,West Bengal,Birbhum,346.3,501.95,1449.47
1976,West Bengal,Birbhum,322.7,424.3,1314.84
1977,West Bengal,Birbhum,359.7,637.41,1772.06
1978,West Bengal,Birbhum,350.7,493.95,1408.47
1979,West Bengal,Birbhum,338.1,538.74,1593.43
1980,West Bengal,Birbhum,357.4,585.67,1638.7
1981,West Bengal,Birbhum,330.18,380.13,1151.28
1982,West Bengal,Birbhum,308.1,322.55,1046.9
1983,West Bengal,Birbhum,344.47,619.8,1799.29
1984,West Bengal,Birbhum,340.42,619.58,1820.05
1985,West Bengal,Birbhum,335.92,578.22,1721.3
1986,West Bengal,Birbhum,309.83,583.35,1882.81
1987,West Bengal,Birbhum,346.73,735.36,2120.84
1988,West Bengal,Birbhum,353.48,870.61,2462.97
1989,West Bengal,Birbhum,351.58,807.68,2297.29
1990,West Bengal,Birbhum,376.73,813.09,2158.28
1991,West Bengal,Birbhum,335.23,768.48,2292.4
1992,West Bengal,Birbhum,335.57,783.99,2336.29
1993,West Bengal,Birbhum,371.2,832.45,2242.59
1994,West Bengal,Birbhum,352.52,798.97,2266.45
1995,West Bengal,Birbhum,389.43,822.96,2113.24
1996,West Bengal,Birbhum,350.46,858.3,2449.07
1997,West Bengal,Birbhum,368.48,1020.06,2768.29
1998,West Bengal,Birbhum,399.31,1187.79,2974.61
1999,West Bengal,Birbhum,394.11,1042.5,2645.2
2000,West Bengal,Birbhum,318.19,796.5,2503.22
2001,West Bengal,Birbhum,394.13,1157.44,2936.7
2002,West Bengal,Birbhum,401.45,1146.55,2856.02
2003,West Bengal,Birbhum,376.29,1110.36,2950.81
2004,West Bengal,Birbhum,387.89,1088.0,2804.92
2005,West Bengal,Birbhum,368.55,1116.34,3029.01
2006,West Bengal,Birbhum,383.41,1199.44,3128.35
2007,West Bengal,Birbhum,394.0,1220.7,3098.22
2008,West Bengal,Birbhum,393.9,1212.4,3077.94
2009,West Bengal,Birbhum,357.6,960.5,2685.96
2010,West Bengal,Birbhum,249.03,747.95,3003.45
2011,West Bengal,Birbhum,386.88,1126.8,2912.53
2012,West Bengal,Birbhum,372.09,1084.23,2913.89
2013,West Bengal,Birbhum,384.61,1274.1,3312.71
2014,West Bengal,Birbhum,384.73,1261.88,3279.91
2015,West Bengal,Birbhum,399.51,1340.67,3355.79
2016,West Bengal,Birbhum,401.63,1309.02,3259.3
2017,West Bengal,Birbhum,423.81,1376.11,3246.97
1966,West Bengal,Bankura,304.63,272.82,895.58
1967,West Bengal,Bankura,367.36,414.87,1129.33
1968,West Bengal,Bankura,359.5,458.82,1276.27
1969,West Bengal,Bankura,382.7,467.09,1220.51
1970,West Bengal,Bankura,367.7,465.39,1265.68
1971,West Bengal,Bankura,379.5,462.39,1218.42
1972,West Bengal,Bankura,380.8,442.62,1162.34
1973,West Bengal,Bankura,372.0,402.48,1081.94
1974,West Bengal,Bankura,374.6,492.47,1314.66
1975,West Bengal,Bankura,373.8,478.64,1280.47
1976,West Bengal,Bankura,357.4,411.21,1150.56
1977,West Bengal,Bankura,389.2,605.25,1555.11
1978,West Bengal,Bankura,379.4,511.58,1348.39
1979,West Bengal,Bankura,325.1,342.85,1054.6
1980,West Bengal,Bankura,381.6,594.15,1557.0
1981,West Bengal,Bankura,342.02,341.8,999.36
1982,West Bengal,Bankura,319.14,290.02,908.75
1983,West Bengal,Bankura,359.29,586.05,1631.13
1984,West Bengal,Bankura,375.67,588.91,1567.63
1985,West Bengal,Bankura,380.35,679.84,1787.41
1986,West Bengal,Bankura,360.51,625.32,1734.54
1987,West Bengal,Bankura,365.49,694.87,1901.2
1988,West Bengal,Bankura,386.69,779.19,2015.02
1989,West Bengal,Bankura,407.13,831.38,2042.05
1990,West Bengal,Bankura,434.78,843.79,1940.73
1991,West Bengal,Bankura,413.93,949.79,2294.57
1992,West Bengal,Bankura,414.69,877.06,2114.98
1993,West Bengal,Bankura,418.51,912.64,2180.69
1994,West Bengal,Bankura,420.48,975.47,2319.9
1995,West Bengal,Bankura,437.47,1057.08,2416.35
1996,West Bengal,Bankura,421.38,1038.72,2465.04
1997,West Bengal,Bankura,437.28,1197.35,2738.18
1998,West Bengal,Bankura,386.01,928.98,2406.62
1999,West Bengal,Bankura,412.12,997.06,2419.34
2000,West Bengal,Bankura,395.57,993.41,2511.34
2001,West Bengal,Bankura,436.47,1222.48,2800.83
2002,West Bengal,Bankura,320.42,929.51,2900.91
2003,West Bengal,Bankura,320.48,866.98,2705.25
2004,West Bengal,Bankura,346.83,958.49,2763.57
2005,West Bengal,Bankura,386.94,1013.45,2619.14
2006,West Bengal,Bankura,406.9,1138.01,2796.78
2007,West Bengal,Bankura,416.8,1173.6,2815.74
2008,West Bengal,Bankura,371.1,1025.8,2764.21
2009,West Bengal,Bankura,377.3,1004.9,2663.4
2010,West Bengal,Bankura,198.02,507.49,2562.82
2011,West Bengal,Bankura,376.99,1119.51,2969.6
2012,West Bengal,Bankura,376.29,1033.74,2747.19
2013,West Bengal,Bankura,377.61,1045.36,2768.36
2014,West Bengal,Bankura,356.09,984.16,2763.8
2015,West Bengal,Bankura,360.61,990.64,2747.12
2016,West Bengal,Bankura,376.63,1058.24,2809.78
2017,West Bengal,Bankura,384.61,1081.48,2811.87
1966,West Bengal,Hooghly,185.95,168.41,905.67
1967,West Bengal,Hooghly,202.93,231.55,1141.03
1968,West Bengal,Hooghly,212.9,298.68,1402.91
1969,West Bengal,Hooghly,208.6,281.74,1350.62
1970,West Bengal,Hooghly,198.5,257.87,1299.09
1971,West Bengal,Hooghly,211.0,274.6,1301.42
1972,West Bengal,Hooghly,226.7,345.36,1523.42
1973,West Bengal,Hooghly,249.6,358.47,1436.18
1974,West Bengal,Hooghly,251.9,400.21,1588.77
1975,West Bengal,Hooghly,250.8,404.47,1612.72
1976,West Bengal,Hooghly,228.6,326.93,1430.14
1977,West Bengal,Hooghly,238.6,432.73,1813.62
1978,West Bengal,Hooghly,222.4,346.68,1558.81
1979,West Bengal,Hooghly,215.4,339.05,1574.05
1980,West Bengal,Hooghly,254.0,510.82,2011.1
1981,West Bengal,Hooghly,229.33,371.06,1618.02
1982,West Bengal,Hooghly,213.99,314.85,1471.33
1983,West Bengal,Hooghly,259.14,475.21,1833.8
1984,West Bengal,Hooghly,223.21,472.88,2118.54
1985,West Bengal,Hooghly,242.48,479.15,1976.04
1986,West Bengal,Hooghly,230.1,458.6,1993.05
1987,West Bengal,Hooghly,256.64,508.95,1983.13
1988,West Bengal,Hooghly,262.58,584.78,2227.05
1989,West Bengal,Hooghly,255.68,565.28,2210.89
1990,West Bengal,Hooghly,275.3,610.69,2218.27
1991,West Bengal,Hooghly,271.76,689.13,2535.8
1992,West Bengal,Hooghly,262.11,601.13,2293.43
1993,West Bengal,Hooghly,284.14,699.6,2462.17
1994,West Bengal,Hooghly,287.65,750.38,2608.66
1995,West Bengal,Hooghly,301.45,688.8,2284.96
1996,West Bengal,Hooghly,259.36,648.6,2500.77
1997,West Bengal,Hooghly,292.11,773.11,2646.64
1998,West Bengal,Hooghly,290.93,745.15,2561.27
1999,West Bengal,Hooghly,311.84,766.88,2459.21
2000,West Bengal,Hooghly,199.3,503.7,2527.35
2001,West Bengal,Hooghly,311.06,847.68,2725.13
2002,West Bengal,Hooghly,304.73,778.91,2556.07
2003,West Bengal,Hooghly,298.22,793.21,2659.81
2004,West Bengal,Hooghly,304.04,857.57,2820.58
2005,West Bengal,Hooghly,310.32,849.95,2738.95
2006,West Bengal,Hooghly,299.19,846.82,2830.38
2007,West Bengal,Hooghly,301.8,845.1,2800.2
2008,West Bengal,Hooghly,305.7,876.3,2866.54
2009,West Bengal,Hooghly,299.9,861.3,2871.96
2010,West Bengal,Hooghly,292.37,904.16,3092.52
2011,West Bengal,Hooghly,277.2,806.84,2910.68
2012,West Bengal,Hooghly,273.45,793.04,2900.13
2013,West Bengal,Hooghly,286.05,807.73,2823.74
2014,West Bengal,Hooghly,276.03,860.05,3115.78
2015,West Bengal,Hooghly,277.62,871.28,3138.39
2016,West Bengal,Hooghly,266.97,837.1,3135.59
2017,West Bengal,Hooghly,260.37,839.67,3224.91
1966,West Bengal,Howrah,87.65,70.34,802.51
1967,West Bengal,Howrah,88.64,71.99,812.16
1968,West Bengal,Howrah,74.8,66.31,886.5
1969,West Bengal,Howrah,92.3,95.69,1036.73
1970,West Bengal,Howrah,73.3,54.34,741.34
1971,West Bengal,Howrah,73.9,51.49,696.75
1972,West Bengal,Howrah,91.0,92.87,1020.55
1973,West Bengal,Howrah,87.6,83.23,950.11
1974,West Bengal,Howrah,94.8,100.42,1059.28
1975,West Bengal,Howrah,94.6,110.24,1165.33
1976,West Bengal,Howrah,86.5,93.41,1079.88
1977,West Bengal,Howrah,91.5,124.9,1365.03
1978,West Bengal,Howrah,48.8,59.05,1210.04
1979,West Bengal,Howrah,84.1,103.75,1233.65
1980,West Bengal,Howrah,90.4,151.38,1674.56
1981,West Bengal,Howrah,94.82,132.86,1401.18
1982,West Bengal,Howrah,88.48,112.73,1274.07
1983,West Bengal,Howrah,108.99,124.48,1142.12
1984,West Bengal,Howrah,118.21,158.12,1337.62
1985,West Bengal,Howrah,103.41,189.52,1832.7
1986,West Bengal,Howrah,115.77,191.78,1656.56
1987,West Bengal,Howrah,114.35,220.28,1926.37
1988,West Bengal,Howrah,118.06,247.35,2095.12
1989,West Bengal,Howrah,114.19,229.26,2007.71
1990,West Bengal,Howrah,133.09,232.45,1746.56
1991,West Bengal,Howrah,133.24,325.85,2445.59
1992,West Bengal,Howrah,133.34,270.61,2029.47
1993,West Bengal,Howrah,140.67,259.87,1847.37
1994,West Bengal,Howrah,118.85,218.22,1836.1
1995,West Bengal,Howrah,120.34,179.95,1495.35
1996,West Bengal,Howrah,116.19,215.74,1856.79
1997,West Bengal,Howrah,124.84,242.62,1943.45
1998,West Bengal,Howrah,124.14,235.27,1895.2
1999,West Bengal,Howrah,134.1,295.77,2205.59
2000,West Bengal,Howrah,113.27,224.2,1979.34
2001,West Bengal,Howrah,122.65,287.51,2344.15
2002,West Bengal,Howrah,131.24,281.15,2142.26
2003,West Bengal,Howrah,141.42,332.46,2350.87
2004,West Bengal,Howrah,132.98,305.44,2296.89
2005,West Bengal,Howrah,125.55,286.01,2278.06
2006,West Bengal,Howrah,116.84,243.55,2084.47
2007,West Bengal,Howrah,117.8,259.2,2200.34
2008,West Bengal,Howrah,115.3,207.0,1795.32
2009,West Bengal,Howrah,114.0,191.2,1677.19
2010,West Bengal,Howrah,115.47,304.76,2639.3
2011,West Bengal,Howrah,107.05,225.33,2104.9
2012,West Bengal,Howrah,111.21,286.83,2579.17
2013,West Bengal,Howrah,108.64,275.13,2532.49
2014,West Bengal,Howrah,117.36,320.39,2729.98
2015,West Bengal,Howrah,112.82,222.22,1969.69
2016,West Bengal,Howrah,115.79,299.34,2585.08
2017,West Bengal,Howrah,110.38,300.67,2724.04
1966,West Bengal,Jalpaiguri,229.68,247.5,1077.59
1967,West Bengal,Jalpaiguri,209.47,164.91,787.27
1968,West Bengal,Jalpaiguri,246.0,248.65,1010.77
1969,West Bengal,Jalpaiguri,252.0,262.36,1041.11
1970,West Bengal,Jalpaiguri,258.7,260.52,1007.04
1971,West Bengal,Jalpaiguri,259.4,275.07,1060.41
1972,West Bengal,Jalpaiguri,255.8,245.35,959.15
1973,West Bengal,Jalpaiguri,253.3,228.35,901.5
1974,West Bengal,Jalpaiguri,288.7,278.33,964.08
1975,West Bengal,Jalpaiguri,305.0,312.29,1023.9
1976,West Bengal,Jalpaiguri,297.0,276.83,932.09
1977,West Bengal,Jalpaiguri,298.9,285.59,955.47
1978,West Bengal,Jalpaiguri,265.1,221.63,836.02
1979,West Bengal,Jalpaiguri,257.8,204.78,794.34
1980,West Bengal,Jalpaiguri,264.7,294.53,1112.69
1981,West Bengal,Jalpaiguri,269.85,214.02,793.11
1982,West Bengal,Jalpaiguri,251.8,181.6,721.21
1983,West Bengal,Jalpaiguri,272.09,277.75,1020.8
1984,West Bengal,Jalpaiguri,279.83,282.34,1008.97
1985,West Bengal,Jalpaiguri,254.0,260.97,1027.44
1986,West Bengal,Jalpaiguri,279.2,244.66,876.29
1987,West Bengal,Jalpaiguri,261.18,293.81,1124.93
1988,West Bengal,Jalpaiguri,270.86,280.18,1034.41
1989,West Bengal,Jalpaiguri,268.89,316.86,1178.4
1990,West Bengal,Jalpaiguri,275.39,249.71,906.75
1991,West Bengal,Jalpaiguri,262.36,361.72,1378.72
1992,West Bengal,Jalpaiguri,264.02,345.49,1308.58
1993,West Bengal,Jalpaiguri,253.04,321.97,1272.41
1994,West Bengal,Jalpaiguri,241.52,271.3,1123.3
1995,West Bengal,Jalpaiguri,252.39,311.86,1235.63
1996,West Bengal,Jalpaiguri,248.04,277.16,1117.4
1997,West Bengal,Jalpaiguri,244.85,310.47,1268.0
1998,West Bengal,Jalpaiguri,246.23,286.15,1162.12
1999,West Bengal,Jalpaiguri,257.8,379.17,1470.79
2000,West Bengal,Jalpaiguri,260.85,384.14,1472.65
2001,West Bengal,Jalpaiguri,256.13,409.99,1600.71
2002,West Bengal,Jalpaiguri,275.18,432.45,1571.52
2003,West Bengal,Jalpaiguri,240.23,397.58,1655.0
2004,West Bengal,Jalpaiguri,250.08,366.12,1464.01
2005,West Bengal,Jalpaiguri,248.53,394.62,1587.82
2006,West Bengal,Jalpaiguri,229.68,418.96,1824.1
2007,West Bengal,Jalpaiguri,236.1,372.4,1577.3
2008,West Bengal,Jalpaiguri,235.5,391.2,1661.15
2009,West Bengal,Jalpaiguri,227.5,435.3,1913.41
2010,West Bengal,Jalpaiguri,224.11,493.74,2203.11
2011,West Bengal,Jalpaiguri,224.62,469.65,2090.86
2012,West Bengal,Jalpaiguri,228.12,492.88,2160.62
2013,West Bengal,Jalpaiguri,229.65,523.15,2278.03
2014,West Bengal,Jalpaiguri,230.54,561.85,2437.1
2015,West Bengal,Jalpaiguri,220.26,556.42,2526.2
2016,West Bengal,Jalpaiguri,210.97,483.41,2291.3
2017,West Bengal,Jalpaiguri,214.23,514.26,2400.54
1966,West Bengal,Darjeeling,37.5,42.19,1125.07
1967,West Bengal,Darjeeling,34.0,28.19,829.12
1968,West Bengal,Darjeeling,37.4,41.2,1101.6
1969,West Bengal,Darjeeling,40.2,42.26,1051.24
1970,West Bengal,Darjeeling,41.9,46.25,1103.82
1971,West Bengal,Darjeeling,42.1,64.76,1538.24
1972,West Bengal,Darjeeling,41.1,36.04,876.89
1973,West Bengal,Darjeeling,42.3,45.39,1073.05
1974,West Bengal,Darjeeling,46.0,51.8,1126.09
1975,West Bengal,Darjeeling,45.3,48.41,1068.65
1976,West Bengal,Darjeeling,44.9,42.42,944.77
1977,West Bengal,Darjeeling,44.7,46.81,1047.2
1978,West Bengal,Darjeeling,36.8,30.79,836.68
1979,West Bengal,Darjeeling,42.1,34.79,826.37
1980,West Bengal,Darjeeling,43.1,47.53,1102.78
1981,West Bengal,Darjeeling,43.8,43.76,999.09
1982,West Bengal,Darjeeling,40.87,37.13,908.49
1983,West Bengal,Darjeeling,44.32,59.81,1349.5
1984,West Bengal,Darjeeling,43.95,54.42,1238.23
1985,West Bengal,Darjeeling,41.18,48.91,1187.71
1986,West Bengal,Darjeeling,49.27,60.54,1228.74
1987,West Bengal,Darjeeling,47.94,46.14,962.45
1988,West Bengal,Darjeeling,52.78,55.31,1047.93
